,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6719334171708246],[0.8266494804987465],[0.0],[0.0],0.7265751,[0.6655844155844155],[0.8464308571007669],[0.0],[0.0],0.7258865
1,[0.7511662191557338],[0.8872808315586381],[0.8820754716981132],[0.7468051118210862],0.64109343,[0.7784415584415585],[0.8970827713304641],[0.8731343283582089],[0.7597402597402597],0.6512903
2,[0.7832637991978793],[0.904796903457626],[0.8810344827586207],[0.8162939297124601],0.58990616,[0.7912987012987013],[0.9078839854226339],[0.8591549295774648],[0.7922077922077922],0.6008346
3,[0.7885659540479912],[0.9012767803640747],[0.8398091342876619],[0.9840255591054313],0.51614857,[0.7771428571428571],[0.899449703872225],[0.8388888888888889],[0.9805194805194806],0.5322258
4,[0.8015069505811978],[0.9102790379593253],[0.9051918735891648],[0.6405750798722045],0.61894315,[0.8120779220779221],[0.9183718032404506],[0.9090909090909091],[0.6493506493506493],0.63989466
5,[0.8059997620827952],[0.9095906234373561],[0.8681159420289855],[0.9568690095846646],0.4896246,[0.7985714285714286],[0.9092699664334865],[0.8448275862068966],[0.9545454545454546],0.5105456
6,[0.8130416864931004],[0.9120526297531559],[0.8724188790560472],[0.944888178913738],0.48299178,[0.8062337662337663],[0.9136679025992592],[0.847953216374269],[0.9415584415584416],0.5047811
7,[0.819705492488614],[0.9161271699365982],[0.8745304282494365],[0.9297124600638977],0.48119304,[0.8127272727272726],[0.916981101408646],[0.8520710059171598],[0.935064935064935],0.51256746
8,[0.8279391271837402],[0.9204921213299873],[0.8954468802698144],[0.8482428115015974],0.50211513,[0.8225974025974025],[0.9213492924766966],[0.8943661971830986],[0.8246753246753247],0.53874296
9,[0.8341632112025015],[0.9222482392769515],[0.9010989010989011],[0.8514376996805112],0.49483037,[0.8237662337662338],[0.9226147838416408],[0.8958333333333334],[0.8376623376623377],0.52745765
10,[0.8383968628917138],[0.9239659305801955],[0.903035413153457],[0.8554313099041534],0.4838147,[0.8284415584415584],[0.9250212256901174],[0.8943661971830986],[0.8246753246753247],0.51942176
11,[0.8461058051797974],[0.9283176945821637],[0.9043693322341303],[0.8761980830670927],0.47545165,[0.8327272727272726],[0.9270525750320219],[0.8811188811188811],[0.8181818181818182],0.50969905
12,[0.847701125008497],[0.9292446500777956],[0.8867924528301887],[0.9384984025559105],0.45164347,[0.8275324675324675],[0.9252772147371073],[0.8765432098765432],[0.922077922077922],0.47662458
13,[0.8509873563999728],[0.9309830162528049],[0.8827893175074184],[0.950479233226837],0.4452483,[0.8302597402597403],[0.9258729988774983],[0.8787878787878788],[0.9415584415584416],0.47195747
14,[0.8577127659574469],[0.9348717472763743],[0.9068219633943427],[0.8706070287539937],0.46547326,[0.8427272727272728],[0.9316746520927095],[0.8951048951048951],[0.8311688311688312],0.49815986
15,[0.8552996057372034],[0.931765656388429],[0.8819599109131403],[0.9488817891373802],0.4390481,[0.8348051948051948],[0.9297708483112673],[0.8674698795180723],[0.935064935064935],0.45010075
16,[0.8627748793419889],[0.9373859206426309],[0.9071487263763353],[0.8817891373801917],0.45995942,[0.8462337662337662],[0.9336615146354509],[0.8951048951048951],[0.8311688311688312],0.49019662
17,[0.8606272517164026],[0.9347644737048764],[0.8920367534456355],[0.9305111821086262],0.43481565,[0.8371428571428572],[0.9296329379299815],[0.8782051282051282],[0.8896103896103896],0.44722763
18,[0.8659421521310586],[0.9395847295226154],[0.9192825112107623],[0.8186900958466453],0.4861009,[0.8475324675324676],[0.9314598498317087],[0.8970588235294118],[0.7922077922077922],0.5224195
19,[0.8687355550268506],[0.9396321531767005],[0.914334181509754],[0.8610223642172524],0.45635238,[0.8477922077922079],[0.9324275160521039],[0.9],[0.8181818181818182],0.47854066
20,[0.8699655020053021],[0.9400144037486544],[0.909895414320193],[0.9033546325878594],0.4353169,[0.8450649350649351],[0.9310217595894199],[0.8791946308724832],[0.8506493506493507],0.45133388
21,[0.8727737747263952],[0.9415204877167823],[0.9137931034482759],[0.8889776357827476],0.4446168,[0.8506493506493507],[0.9338506250533867],[0.8958333333333334],[0.8376623376623377],0.46299076
22,[0.8708449459588062],[0.9430402588628979],[0.9452380952380952],[0.634185303514377],0.5958118,[0.8557142857142858],[0.934586591240792],[0.9223300970873787],[0.6168831168831169],0.6537599
23,[0.8751040887771055],[0.9424165669226463],[0.9029202841357538],[0.9137380191693291],0.42832336,[0.852987012987013],[0.935273889984934],[0.8807947019867549],[0.8636363636363636],0.4462262
24,[0.8756011657943036],[0.9428979589892889],[0.9253333333333333],[0.8314696485623003],0.4623031,[0.8537662337662337],[0.9341778760809009],[0.9057971014492754],[0.8116883116883117],0.48467985
25,[0.8757817279586704],[0.9434985765096723],[0.893048128342246],[0.9337060702875399],0.41541642,[0.8498701298701298],[0.9331852874849238],[0.8860759493670886],[0.9090909090909091],0.43318036
26,[0.8784519237305417],[0.9449106009905871],[0.9271758436944938],[0.8338658146964856],0.45478973,[0.8536363636363636],[0.9332992532289576],[0.9057971014492754],[0.8116883116883117],0.4837507
27,[0.8788194208415471],[0.945437418140754],[0.920675105485232],[0.8714057507987221],0.43765658,[0.8538961038961039],[0.9340981644157562],[0.9078014184397163],[0.8311688311688312],0.46599546
28,[0.8797222316633811],[0.9467412204252346],[0.9347234814143246],[0.8234824281150159],0.46588218,[0.8542857142857143],[0.932139447644048],[0.9117647058823529],[0.8051948051948052],0.50630665
29,[0.8794439535041805],[0.9457337655750537],[0.9333333333333333],[0.8274760383386581],0.4638646,[0.8523376623376624],[0.9305232353822643],[0.9111111111111111],[0.7987012987012987],0.49555397
30,[0.8799813914757664],[0.9462240987988584],[0.9055555555555556],[0.9113418530351438],0.41589862,[0.8507792207792207],[0.9319419018188094],[0.8843537414965986],[0.8441558441558441],0.4387622
31,[0.8766675446944463],[0.944754728520548],[0.8791451731761238],[0.9528753993610224],0.41724876,[0.8453246753246753],[0.9298403026368203],[0.8780487804878049],[0.935064935064935],0.43546152
32,[0.8813642852287404],[0.9480168311866238],[0.9341637010676157],[0.8386581469648562],0.45346215,[0.8536363636363637],[0.9311507362884403],[0.9064748201438849],[0.8181818181818182],0.5075397
33,[0.8834460607708517],[0.9475152335785633],[0.9369287020109689],[0.8186900958466453],0.46183905,[0.8557142857142858],[0.9313246271536763],[0.916030534351145],[0.7792207792207793],0.49756154
34,[0.8846845047923323],[0.948390325967767],[0.925513698630137],[0.8634185303514377],0.42762917,[0.8564935064935065],[0.9329154914603071],[0.8958333333333334],[0.8376623376623377],0.46291316
35,[0.8861778601046835],[0.949622169871801],[0.933392539964476],[0.8394568690095847],0.43563107,[0.8563636363636363],[0.9328983337796901],[0.9136690647482014],[0.8246753246753247],0.48135647
36,[0.8872102508327102],[0.95048644492738],[0.9228187919463087],[0.8785942492012779],0.41490772,[0.8555844155844156],[0.9331998501945149],[0.8958333333333334],[0.8376623376623377],0.45648566
37,[0.8876202331588606],[0.9514094882572833],[0.9083665338645418],[0.9105431309904153],0.40160844,[0.8537662337662337],[0.9301848825705699],[0.8972602739726028],[0.8506493506493507],0.44347703
38,[0.88982734008565],[0.951992123223973],[0.9241034195162635],[0.8849840255591054],0.41239634,[0.8580519480519481],[0.9316006171614721],[0.8958333333333334],[0.8376623376623377],0.4523559
39,[0.8904200088369247],[0.9527483979532179],[0.9291204099060631],[0.8690095846645367],0.41253966,[0.8563636363636364],[0.9306619733611876],[0.9078014184397163],[0.8311688311688312],0.4652711
40,[0.8861141322819659],[0.9513142968538563],[0.8814814814814815],[0.950479233226837],0.4045131,[0.8545454545454545],[0.9310775432760625],[0.8711656441717791],[0.922077922077922],0.42666006
41,[0.8888969138739719],[0.9521395064253595],[0.9451219512195121],[0.7428115015974441],0.4974947,[0.855974025974026],[0.9281403976125462],[0.9322033898305084],[0.7142857142857143],0.5469286
42,[0.8904433757052546],[0.9521829698300011],[0.9236577181208053],[0.8793929712460063],0.41111127,[0.8541558441558441],[0.9302761473869983],[0.896551724137931],[0.8441558441558441],0.4422182
43,[0.8878687716674596],[0.9514196638346928],[0.9012345679012346],[0.9329073482428115],0.3968701,[0.8545454545454546],[0.9297648293727621],[0.8726114649681529],[0.8896103896103896],0.420316
44,[0.891836890762015],[0.9532861908368395],[0.9519832985386222],[0.7284345047923323],0.49943486,[0.857922077922078],[0.9308748797946096],[0.940677966101695],[0.7207792207792207],0.5647423
45,[0.8912930800081572],[0.9534727306885837],[0.9076682316118936],[0.9265175718849841],0.39570558,[0.8545454545454545],[0.9286716874542608],[0.8766233766233766],[0.8766233766233766],0.43317917
46,[0.8929287607912446],[0.9540765511789672],[0.9234608985024958],[0.8865814696485623],0.40972713,[0.8567532467532468],[0.9292146005380161],[0.8958333333333334],[0.8376623376623377],0.4587543
47,[0.892890524097614],[0.9530698250066036],[0.9258635214827295],[0.8777955271565495],0.41728294,[0.8572727272727273],[0.9320551599561016],[0.8951048951048951],[0.8311688311688312],0.44673094
48,[0.8916010978179594],[0.9533647699805686],[0.9454022988505747],[0.7883386581469649],0.4663733,[0.8554545454545456],[0.9293024062258192],[0.9354838709677419],[0.7532467532467533],0.5393937
49,[0.8947110155665828],[0.9549515100445337],[0.9257095158597662],[0.8857827476038339],0.40485954,[0.8563636363636364],[0.9303204649585878],[0.8958333333333334],[0.8376623376623377],0.4471422
50,[0.8954693766569234],[0.9560757302356366],[0.9439853076216712],[0.8210862619808307],0.4385586,[0.8563636363636364],[0.9295063740639228],[0.9172932330827067],[0.7922077922077922],0.50293744
51,[0.8952335837128679],[0.9551306447928649],[0.9448144624167459],[0.7931309904153354],0.46148923,[0.859090909090909],[0.9311562111643295],[0.937007874015748],[0.7727272727272727],0.5138652
52,[0.8931475596492422],[0.9538261088087288],[0.9016141429669485],[0.9369009584664537],0.39140752,[0.8553246753246754],[0.9295331049865357],[0.879746835443038],[0.9025974025974026],0.41328707
53,[0.8955777139555434],[0.9555606397812105],[0.9177524429967426],[0.9001597444089456],0.394228,[0.8546753246753247],[0.9283017448941253],[0.8896551724137931],[0.8376623376623377],0.44069517
54,[0.8976488681938686],[0.9563745404009786],[0.9431192660550459],[0.8210862619808307],0.434175,[0.8563636363636363],[0.9296572758523075],[0.9307692307692308],[0.7857142857142857],0.49157277
55,[0.898464584324655],[0.956995292848031],[0.9407079646017699],[0.8490415335463258],0.41428497,[0.8561038961038961],[0.928642551014333],[0.9136690647482014],[0.8246753246753247],0.47770062
56,[0.8993291584528585],[0.9579965947338],[0.9244663382594417],[0.8993610223642172],0.38586265,[0.8549350649350649],[0.9276579596222231],[0.8896551724137931],[0.8376623376623377],0.4369559
57,[0.9007715315070355],[0.9583356802139218],[0.9300758213984835],[0.8817891373801917],0.39270425,[0.8537662337662337],[0.9274900195485883],[0.9084507042253521],[0.8376623376623377],0.4488026
58,[0.9015808748555503],[0.9591950813360337],[0.9260476581758422],[0.9001597444089456],0.38534808,[0.8542857142857142],[0.9274753020566876],[0.8896551724137931],[0.8376623376623377],0.4371318
59,[0.9018782713615662],[0.960200700516586],[0.9114624505928853],[0.920926517571885],0.37548313,[0.8546753246753247],[0.9257180295884937],[0.88],[0.8571428571428571],0.42191938
60,[0.904401893141187],[0.9609023795193373],[0.9448462929475587],[0.8346645367412141],0.41334632,[0.8563636363636363],[0.9274254596284344],[0.9166666666666666],[0.7857142857142857],0.4797081
61,[0.9051963666644008],[0.9612265539020326],[0.945045045045045],[0.8378594249201278],0.41115212,[0.8544155844155844],[0.9259077366522249],[0.9090909090909091],[0.7792207792207793],0.48985377
62,[0.907144313778805],[0.9629208702153877],[0.9401197604790419],[0.8777955271565495],0.38484445,[0.8563636363636363],[0.92600446520325],[0.9130434782608695],[0.8181818181818182],0.44239762
63,[0.9071952960369789],[0.9626224115974449],[0.9392123287671232],[0.8761980830670927],0.38860896,[0.8563636363636363],[0.9277324175250465],[0.9117647058823529],[0.8051948051948052],0.43864533
64,[0.9093216810549929],[0.9634693899061428],[0.944],[0.8482428115015974],0.39993548,[0.8568831168831168],[0.9270462277673175],[0.9097744360902256],[0.7857142857142857],0.46755028
65,[0.9110338352253415],[0.9654813380646052],[0.9423407917383821],[0.8746006389776357],0.38434634,[0.8531168831168832],[0.9239258813201534],[0.9037037037037037],[0.7922077922077922],0.4457984
66,[0.9117072258853918],[0.9651464328659475],[0.9404761904761905],[0.8833865814696485],0.3735486,[0.8548051948051948],[0.9264324970444175],[0.9],[0.8181818181818182],0.43226957
67,[0.9125123207123922],[0.9659336679188354],[0.9276422764227642],[0.9113418530351438],0.36070633,[0.8576623376623377],[0.9269922754952836],[0.8807947019867549],[0.8636363636363636],0.40387878
68,[0.9137974984705322],[0.9659130544401315],[0.9308641975308642],[0.9033546325878594],0.36198848,[0.8571428571428572],[0.9291261063316146],[0.891156462585034],[0.8506493506493507],0.41137794
69,[0.9033185201549863],[0.9610936130324943],[0.961926091825308],[0.6861022364217252],0.51120603,[0.8483116883116882],[0.9237127821825735],[0.9363636363636364],[0.6688311688311688],0.58386785
70,[0.913315291278635],[0.9658325205780616],[0.9430272108843537],[0.8857827476038339],0.38186747,[0.8581818181818182],[0.9281837289406885],[0.9014084507042254],[0.8311688311688312],0.4266756
71,[0.9122765277683367],[0.9648928842751419],[0.9386189258312021],[0.8793929712460063],0.37657157,[0.8559740259740259],[0.9279254765889029],[0.9071428571428571],[0.8246753246753247],0.4409329
72,[0.9149775253211883],[0.9664321767021362],[0.9392405063291139],[0.8889776357827476],0.37116438,[0.8579220779220779],[0.9264791805949428],[0.900709219858156],[0.8246753246753247],0.41676435
