,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.30638192663102265],[0.6414048624997621],[0.7585995085995086],[1.0],0.6934055,[0.3541822534789765],[0.7223048729621249],[0.7990196078431373],[1.0],0.6864352
1,[0.7618691473251538],[0.8770178625310359],[0.8809963099630996],[0.7732793522267206],0.6485647,[0.7490647912614096],[0.9114420137004321],[0.8758620689655172],[0.7791411042944786],0.6334474
2,[0.7727838386335775],[0.8840702435258998],[0.8973333333333333],[0.5449392712550607],0.67320776,[0.7697142002094868],[0.9165406894344497],[0.9292929292929293],[0.5644171779141104],0.620362
3,[0.7974214750028329],[0.9036169868305193],[0.8703855619360131],[0.8591093117408907],0.55565137,[0.7969474786772408],[0.9324038478131838],[0.8773006134969326],[0.8773006134969326],0.50745386
4,[0.8036787506052271],[0.9026875632197493],[0.8821942446043165],[0.794331983805668],0.55681944,[0.80427951518779],[0.9318605859698337],[0.891156462585034],[0.803680981595092],0.49981275
5,[0.8106798116842311],[0.9034680469773957],[0.8680241327300151],[0.9319838056680162],0.4912896,[0.8000897800389047],[0.9324291596218922],[0.8914285714285715],[0.9570552147239264],0.45293662
6,[0.819741220343872],[0.9077707176914412],[0.8828828828828829],[0.8728744939271255],0.5019004,[0.808768517133024],[0.932882351433171],[0.8963414634146342],[0.901840490797546],0.4568673
7,[0.8277374293043237],[0.9129360359597107],[0.882636655948553],[0.8890688259109312],0.49634534,[0.8138560526709562],[0.9350197818377558],[0.8928571428571429],[0.9202453987730062],0.4593531
8,[0.8318818184627746],[0.9160640746504123],[0.8894430590191189],[0.8663967611336032],0.48954526,[0.8134071524764328],[0.9350878088079797],[0.8982035928143712],[0.9202453987730062],0.44202766
9,[0.8386613921768602],[0.9194483432588062],[0.9039145907473309],[0.8226720647773279],0.50402176,[0.8210384557833309],[0.9384194198950593],[0.906832298136646],[0.8957055214723927],0.45115352
10,[0.8450278662010282],[0.9224961961220465],[0.9054770318021201],[0.8299595141700404],0.49924973,[0.827771958701182],[0.9420314650054531],[0.9074074074074074],[0.901840490797546],0.45079562
11,[0.8504280372098773],[0.9248050822519998],[0.907103825136612],[0.8064777327935223],0.50481147,[0.8304653598683227],[0.9411112257383855],[0.90625],[0.8895705521472392],0.45455778
12,[0.8539388694872825],[0.9293534936281778],[0.9017241379310345],[0.8469635627530364],0.47859186,[0.8354032620080801],[0.9448148321132861],[0.9047619047619048],[0.9325153374233128],0.42772105
13,[0.857744331468719],[0.9306574654730566],[0.8955465587044534],[0.8955465587044534],0.45973,[0.8352536286099057],[0.9443835064087267],[0.9017341040462428],[0.9570552147239264],0.42356315
14,[0.8595347735162921],[0.9339185170989684],[0.895245769540693],[0.8995951417004049],0.4601297,[0.8392937303606164],[0.9465137225559104],[0.8971428571428571],[0.9631901840490797],0.4192661
15,[0.8609296288283834],[0.9335981691935638],[0.8992568125516103],[0.8817813765182186],0.45815757,[0.842286398324106],[0.9475399599099323],[0.9064327485380117],[0.950920245398773],0.41243258
16,[0.862481070556603],[0.9346630086737973],[0.9309245483528161],[0.7093117408906883],0.55608743,[0.8517133024090977],[0.9516219528557871],[0.9318181818181818],[0.754601226993865],0.47004643
17,[0.8650317808614313],[0.9345684453565373],[0.8943606036536934],[0.9117408906882591],0.44383246,[0.8449797994912464],[0.9481250346981529],[0.8971428571428571],[0.9631901840490797],0.41205668
18,[0.8652996260469141],[0.9359327977513967],[0.8911511354737667],[0.9214574898785425],0.43942952,[0.8436330989076761],[0.9467352509132297],[0.8926553672316384],[0.9693251533742331],0.40136763
19,[0.8678297328759362],[0.9363923136915957],[0.9187725631768953],[0.8242914979757086],0.47734624,[0.8515636690109232],[0.9500965119442066],[0.90625],[0.8895705521472392],0.41801932
20,[0.871025331973504],[0.9382777723290793],[0.9022801302931596],[0.897165991902834],0.44158888,[0.8520125692054465],[0.9504380622588786],[0.9117647058823529],[0.950920245398773],0.40453115
21,[0.8730547743404312],[0.9409066522668637],[0.9070945945945946],[0.8696356275303644],0.45395207,[0.8565015711506807],[0.9511195250686033],[0.9101796407185628],[0.9325153374233128],0.40082645
22,[0.8737985598170411],[0.9410890452012919],[0.9193548387096774],[0.8307692307692308],0.4696753,[0.8593446057159958],[0.9522627184690258],[0.9074074074074074],[0.901840490797546],0.40900734
23,[0.8737532321702671],[0.9405743357894139],[0.8872699386503068],[0.9368421052631579],0.42505395,[0.8523118360017956],[0.9503726401161966],[0.8977272727272727],[0.9693251533742331],0.39582524
24,[0.8749853200234878],[0.9426201020250212],[0.931390977443609],[0.8024291497975709],0.4888045,[0.8632350740685321],[0.9529273620665408],[0.9066666666666666],[0.8343558282208589],0.4168788
25,[0.8764564081960626],[0.9429245528920556],[0.9120689655172414],[0.8566801619433199],0.45058912,[0.8612898398922639],[0.9521434374548762],[0.9107142857142857],[0.9386503067484663],0.39746347
26,[0.8778347807275089],[0.9436940621359872],[0.9044481054365733],[0.8890688259109312],0.43128252,[0.8644321412539278],[0.9539290009822425],[0.9053254437869822],[0.9386503067484663],0.3866551
27,[0.8798889472654037],[0.9453764289842292],[0.9318600368324125],[0.8194331983805668],0.4735539,[0.8681729762082896],[0.9540039867079134],[0.9225806451612903],[0.8773006134969326],0.40355834
28,[0.880708965602497],[0.94545057027943],[0.8966061562746646],[0.9198380566801619],0.42059875,[0.8674248092174174],[0.9549949676621649],[0.9022988505747126],[0.9631901840490797],0.38688746
29,[0.8790998341420198],[0.9453069475674887],[0.9451754385964912],[0.6979757085020243],0.5412448,[0.8708663773754302],[0.9555072521311561],[0.9318181818181818],[0.754601226993865],0.4409467
30,[0.8829547444653914],[0.9481964622516945],[0.901453957996769],[0.9036437246963562],0.4199517,[0.8705671105790812],[0.9548572255001545],[0.9058823529411765],[0.9447852760736196],0.3775251
31,[0.8851943422855435],[0.9495671291328616],[0.9157351676698194],[0.8623481781376519],0.43906227,[0.8731108783480472],[0.9553838621340095],[0.9151515151515152],[0.9263803680981595],0.3882189
32,[0.8853694718298978],[0.9504099229553487],[0.937095282146161],[0.8202429149797571],0.4601285,[0.8719138111626515],[0.954432062844183],[0.9225806451612903],[0.8773006134969326],0.38920978
