,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.7030348919862781],[0.8536089436451496],[0.0],[0.0],0.7421643,[0.6416280113721383],[0.8747386706006492],[0.0],[0.0],0.7448058
1,[0.7761648690134025],[0.9023830422835815],[0.8141654978962132],[0.940080971659919],0.59771156,[0.7293131827023792],[0.9071195055225888],[0.8201058201058201],[0.950920245398773],0.5829341
2,[0.7801619433198381],[0.8953722038844465],[0.88],[0.8194331983805668],0.6005789,[0.7631303306898101],[0.922362553639591],[0.8766233766233766],[0.8282208588957055],0.5689462
3,[0.7918812003585005],[0.9024209059497504],[0.8853046594982079],[0.8],0.58885336,[0.7809367050725723],[0.9283682632990167],[0.8979591836734694],[0.8098159509202454],0.53329873
4,[0.803668448867324],[0.9069458367393034],[0.8898467432950191],[0.7522267206477733],0.57594943,[0.798294179260811],[0.9309593972209967],[0.9142857142857143],[0.7852760736196319],0.51054543
5,[0.810924993046327],[0.9068302736440297],[0.866965620328849],[0.9392712550607287],0.48832625,[0.7944037109082748],[0.9297303059376617],[0.8715083798882681],[0.9570552147239264],0.4532523
6,[0.8226607328656345],[0.9135253039071574],[0.8803905614320586],[0.8761133603238866],0.49694094,[0.8066736495585815],[0.9323033169135405],[0.896969696969697],[0.9079754601226994],0.4560329
7,[0.8299152166970567],[0.9181579973169828],[0.8814390842191333],[0.8728744939271255],0.49817395,[0.8102648511147689],[0.9340986346443505],[0.893491124260355],[0.9263803680981595],0.4639714
8,[0.8343820502518775],[0.9197180921704713],[0.8911392405063291],[0.8550607287449393],0.49411514,[0.8147538530600029],[0.9358994308226614],[0.9036144578313253],[0.9202453987730062],0.44721997
9,[0.8413769302881395],[0.9229356013852854],[0.9048490393412626],[0.8008097165991903],0.5095291,[0.8219362561723776],[0.9387368476367153],[0.9102564102564102],[0.8711656441717791],0.45643702
10,[0.8478278785631137],[0.9271751654233547],[0.9012987012987013],[0.8429149797570851],0.4894268,[0.8244800239413438],[0.9404382731479985],[0.9030303030303031],[0.9141104294478528],0.4458418
11,[0.8539388694872826],[0.9288351395027126],[0.9140989729225023],[0.7927125506072874],0.5101282,[0.8337572946281611],[0.9426418735967537],[0.910828025477707],[0.8773006134969326],0.46108803
12,[0.8569387355646898],[0.932972946918255],[0.8917355371900827],[0.8736842105263158],0.46484938,[0.8357025288044292],[0.9449867766740263],[0.8947368421052632],[0.9386503067484663],0.42458716
13,[0.8609667150848349],[0.9344213074293517],[0.8920454545454546],[0.8898785425101214],0.45608056,[0.8374981295825228],[0.9451077559134067],[0.9017341040462428],[0.9570552147239264],0.42229834
14,[0.8625511223743445],[0.9367226355270706],[0.8883684621389539],[0.9214574898785425],0.44825998,[0.8403411641478378],[0.9461118622563196],[0.8926553672316384],[0.9693251533742331],0.41629267
15,[0.8656375230501385],[0.9375857568029595],[0.9012658227848102],[0.8647773279352227],0.46326244,[0.8433338321113273],[0.9467867462471211],[0.9005847953216374],[0.9447852760736196],0.41801253
16,[0.8682418023920636],[0.9388322147023447],[0.9410503751339764],[0.7109311740890688],0.55294466,[0.8556037707616341],[0.9532827704659044],[0.9318181818181818],[0.754601226993865],0.47483253
17,[0.8713673496718897],[0.9399048408898014],[0.9005799502899752],[0.8801619433198381],0.44912148,[0.8503666018255275],[0.9492503179385764],[0.9064327485380117],[0.950920245398773],0.41314897
