,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.5450670128050603],[0.7677295189107829],[0.25],[0.0008097165991902834],0.7203811,[0.4967828819392488],[0.8170049964609368],[0.0],[0.0],0.7211302
1,[0.7668047099545694],[0.893302396336111],[0.8177233429394812],[0.9190283400809717],0.6032934,[0.7353733353284453],[0.9089345125789552],[0.8296703296703297],[0.9263803680981595],0.5845413
2,[0.7747658930061502],[0.8930954783468248],[0.8765008576329331],[0.8275303643724696],0.6004873,[0.7616339967080653],[0.9230869783409075],[0.875],[0.8159509202453987],0.56620985
3,[0.788899877409319],[0.9017080190952692],[0.8845120859444942],[0.8],0.5861913,[0.7836301062397126],[0.9305179992651808],[0.8918918918918919],[0.8098159509202454],0.52828366
4,[0.8006850655705617],[0.9047146207296326],[0.8957247132429614],[0.6955465587044535],0.60244673,[0.7970971120754152],[0.9312467895984404],[0.9307692307692308],[0.7423312883435583],0.5309048
5,[0.8101400006181043],[0.9070429180604596],[0.8672106824925816],[0.9465587044534413],0.49143067,[0.8000897800389047],[0.9334372499002048],[0.8757062146892656],[0.950920245398773],0.45299065
6,[0.8223125341245068],[0.9139312286217061],[0.8817567567567568],[0.8453441295546559],0.5074583,[0.8128086188837348],[0.9359007992431005],[0.89375],[0.8773006134969326],0.4591163
7,[0.8302551740478618],[0.9179416015741584],[0.8822115384615384],[0.891497975708502],0.49390107,[0.8153523866527008],[0.9365357289593284],[0.8994082840236687],[0.9325153374233128],0.46104333
8,[0.8348044215059081],[0.9197488106412738],[0.8930659983291562],[0.8655870445344129],0.48559788,[0.8158012868472243],[0.9360578420250376],[0.8982035928143712],[0.9202453987730062],0.4436457
9,[0.8431941568542614],[0.9238822300305641],[0.9109390125847048],[0.7619433198380566],0.52814114,[0.8258267245249139],[0.9401451171738682],[0.9072847682119205],[0.8404907975460123],0.47140765
10,[0.8479350166373066],[0.9266674627400356],[0.8999144568006844],[0.8518218623481781],0.48776048,[0.8294179260811012],[0.9417596064353333],[0.9036144578313253],[0.9202453987730062],0.44675016
11,[0.8530178941187379],[0.9281633006191033],[0.9147141518275539],[0.7902834008097166],0.5124154,[0.8322609606464163],[0.9421548000957024],[0.9032258064516129],[0.8588957055214724],0.46168613
12,[0.8561352000082414],[0.9317451148520104],[0.8948675496688742],[0.8753036437246964],0.46749043,[0.8370492293879993],[0.9448076924148545],[0.9],[0.9386503067484663],0.4253347
13,[0.8601240329243545],[0.933062757998775],[0.8913219789132197],[0.8898785425101214],0.4588705,[0.8404907975460122],[0.94521933859856],[0.9011627906976745],[0.950920245398773],0.42331028
14,[0.8619618629662823],[0.9363692556666624],[0.8917819365337672],[0.8874493927125506],0.46280724,[0.8437827323058507],[0.9459986651186881],[0.9017341040462428],[0.9570552147239264],0.4204445
15,[0.8629384677195042],[0.9354105233682048],[0.8882725832012678],[0.9076923076923077],0.44962412,[0.8440819991021996],[0.9462684284024137],[0.9028571428571428],[0.9693251533742331],0.41102242
16,[0.8647701167186905],[0.9370876695743411],[0.934640522875817],[0.6947368421052632],0.56519747,[0.85246146939997],[0.9514911692373345],[0.9296875],[0.7300613496932515],0.47878146
17,[0.8663071360138455],[0.9355626593181696],[0.8875968992248062],[0.9271255060728745],0.4415799,[0.8463265000748167],[0.9465757120381088],[0.9028571428571428],[0.9693251533742331],0.41296086
18,[0.8675824911662597],[0.9372891428962578],[0.8872472783825817],[0.9238866396761134],0.43900856,[0.8475235672602124],[0.9462883848292933],[0.8977272727272727],[0.9693251533742331],0.40269437
19,[0.8697108302170575],[0.9377591942497938],[0.9196750902527075],[0.8251012145748988],0.47495723,[0.8532096363908425],[0.9494058106670128],[0.9074074074074074],[0.901840490797546],0.41943553
20,[0.872358376858176],[0.9385108500896863],[0.899513776337115],[0.8987854251012146],0.4409492,[0.8554541373634595],[0.9505797954176061],[0.9064327485380117],[0.950920245398773],0.40963235
21,[0.8739778100565565],[0.9410725033785191],[0.911890504704876],[0.8631578947368421],0.45720038,[0.8572497381415531],[0.9496889470662695],[0.9096385542168675],[0.9263803680981595],0.40571356
22,[0.8743363105355874],[0.9410191068154912],[0.9236363636363636],[0.8226720647773279],0.47452176,[0.8576986383360765],[0.9503197446966929],[0.9119496855345912],[0.8895705521472392],0.41479656
23,[0.8738850944154279],[0.9396106441791858],[0.8853211009174312],[0.9376518218623482],0.42576477,[0.8563519377525063],[0.950545422994366],[0.9028571428571428],[0.9693251533742331],0.39744797
24,[0.8750718546218748],[0.9425822302708927],[0.9180035650623886],[0.8340080971659919],0.4736038,[0.8621876402813108],[0.9513304444227579],[0.9125],[0.8957055214723927],0.4081397
