,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.33153749066637705],[0.5151851580171257],[0.6317408906882591],[0.9918637172641749],0.7332643,[0.3211043024677514],[0.5219300764183072],[0.6424870466321243],[0.9939879759519038],0.7374147
1,[0.8148384048810546],[0.8307579238519862],[0.8046189376443418],[0.8858377828629544],0.51679116,[0.7843701844121457],[0.8121498585684297],[0.8047016274864376],[0.8917835671342685],0.5543463
2,[0.8462997519524085],[0.8638108145706166],[0.8279236276849642],[0.8820239003305365],0.4739425,[0.8195958704412435],[0.8454069526729847],[0.8246268656716418],[0.8857715430861723],0.51363635
3,[0.8512536658627797],[0.8761371385371834],[0.7916137229987293],[0.950419527078566],0.48715276,[0.8252533948763954],[0.8582837147753248],[0.7851239669421488],[0.9519038076152304],0.53470683
4,[0.8559776743762058],[0.8845712457347796],[0.7997835497835498],[0.9394863971523011],0.47862062,[0.83225657090354],[0.8683855376011997],[0.7993197278911565],[0.9418837675350702],0.5356314
5,[0.870346035550658],[0.893073867932167],[0.853023730543506],[0.8499872870582252],0.44609964,[0.8521374879723346],[0.8814148270520132],[0.8379446640316206],[0.8496993987975952],0.47344166
6,[0.8773660259254642],[0.9034280744219136],[0.8657196462074511],[0.821256038647343],0.4451133,[0.8612097841893173],[0.8932052968981107],[0.8559322033898306],[0.8096192384769539],0.46588224
7,[0.8802010231125302],[0.9108741799241964],[0.8306339657565942],[0.912789219425375],0.43732294,[0.8642411176142899],[0.9013568158536562],[0.8275229357798165],[0.9038076152304609],0.47157276
8,[0.8839847989858245],[0.9142380546677136],[0.8421683857040058],[0.8927027714213069],0.42308584,[0.8678873993474312],[0.9044949142876737],[0.8333333333333334],[0.8917835671342685],0.4562848
9,[0.8835106889252625],[0.9111577337090329],[0.8837209302325582],[0.7632850241545893],0.45078975,[0.8670988185757798],[0.9013431836539886],[0.8799076212471132],[0.7635270541082164],0.46766648
10,[0.889584749295873],[0.9196421869162058],[0.8425328554360813],[0.8965166539537249],0.4160688,[0.8745288410756531],[0.9100181633902383],[0.8352272727272727],[0.8837675350701403],0.443831
11,[0.8896060306263481],[0.9184994017707409],[0.8601522842639594],[0.8616831934909738],0.4150407,[0.8739934743132474],[0.909522052845904],[0.8568548387096774],[0.8517034068136272],0.43769926
12,[0.8934098031303775],[0.9228399832525425],[0.8608077216154433],[0.8616831934909738],0.4104821,[0.8794484275410026],[0.9150950922318755],[0.8571428571428571],[0.8537074148296593],0.4307369
13,[0.8943379149077452],[0.9241029143029937],[0.8508044856167724],[0.8873633358759216],0.40899834,[0.8796799374923132],[0.9146336915835896],[0.8461538461538461],[0.8817635270541082],0.43441612
14,[0.8932967495532596],[0.9227346827175209],[0.8608717688798784],[0.8637172641749301],0.4068296,[0.8781027759490099],[0.9127622373567632],[0.8548387096774194],[0.8496993987975952],0.43078035
15,[0.8968470452129407],[0.9264082928016063],[0.8606454841130848],[0.874650394101195],0.40144658,[0.8822699550726001],[0.9170741870670457],[0.8548707753479126],[0.8617234468937875],0.42532447
16,[0.8804941580792867],[0.9137894346983758],[0.7786150712830957],[0.9720315280956013],0.54833704,[0.8643785766478805],[0.9052763370035677],[0.7692307692307693],[0.9619238476953907],0.61600906
17,[0.8937778975341361],[0.9234935679950504],[0.8425925925925926],[0.9023646071700991],0.40757582,[0.8779653169154192],[0.9129389363485458],[0.8383458646616542],[0.8937875751503006],0.4376775
18,[0.8946312733005433],[0.9252614507770894],[0.8307202908429903],[0.9295703025680142],0.41815397,[0.8796003559465502],[0.9154899239211167],[0.8300536672629696],[0.9298597194388778],0.4540192
19,[0.8982139098797655],[0.9276234839695565],[0.8649265078560567],[0.8677854055428426],0.39968735,[0.8830223624143594],[0.9173149181582908],[0.856],[0.8577154308617234],0.42335644
20,[0.8975741294092571],[0.9262879417056228],[0.8975668368879544],[0.7597254004576659],0.43141833,[0.8831815255058855],[0.9167263164288821],[0.8899297423887588],[0.7615230460921844],0.44419
21,[0.9013440528679638],[0.9310981465999523],[0.8503499879314507],[0.8957538774472413],0.3960178,[0.8863358485924918],[0.9205442888693152],[0.8435114503816794],[0.8857715430861723],0.4242432
22,[0.9024509613352298],[0.932423694824394],[0.8625093914350113],[0.8756674294431731],0.39131135,[0.8875874492667646],[0.9224977484456172],[0.8628230616302187],[0.8697394789579158],0.41809872
23,[0.9022852909252832],[0.9324920098474314],[0.8559134497172363],[0.8850750063564709],0.38990697,[0.8862200936168367],[0.9208620048662656],[0.8474903474903475],[0.8797595190380761],0.42263174
24,[0.9031893844031642],[0.9328153003023193],[0.8978400467016929],[0.7821001779811848],0.41220823,[0.8872257149678417],[0.920697766398662],[0.8853211009174312],[0.7735470941883767],0.4310404
25,[0.9016634962511344],[0.9311137526064903],[0.8995515695067264],[0.7650648360030511],0.42243487,[0.8861549814430304],[0.9192867748622752],[0.8860465116279069],[0.7635270541082164],0.4380178
26,[0.902867315764003],[0.9334561074523376],[0.8249609287787453],[0.9394863971523011],0.41505343,[0.8863792567083626],[0.9218861997213535],[0.820738137082601],[0.935871743486974],0.46065918
27,[0.9046421005265257],[0.9347273808191867],[0.8685289595079446],[0.8616831934909738],0.38752764,[0.888166224145041],[0.9223161624801424],[0.8655804480651731],[0.8517034068136272],0.4162376
28,[0.9043132173930918],[0.9340864846030841],[0.8508180943214629],[0.8990592423086702],0.3884304,[0.8875657452088291],[0.9219323970334805],[0.8444022770398482],[0.8917835671342685],0.4248579
29,[0.9068031889152084],[0.93670126198125],[0.8714838709677419],[0.8586320874650394],0.38486055,[0.8912771391157768],[0.9263717873320043],[0.8693877551020408],[0.8537074148296593],0.41148472
30,[0.9081669814739595],[0.9375750845283882],[0.8729423868312757],[0.8629544876684465],0.380261,[0.8907924151552202],[0.9244752551081887],[0.8661257606490872],[0.8557114228456913],0.41032618
31,[0.9087876590178996],[0.9383347899180456],[0.873993244998701],[0.8553267226036104],0.38490427,[0.8931653921561534],[0.9277485695269079],[0.8678861788617886],[0.8557114228456913],0.41044676
32,[0.905500503378872],[0.9355804007809863],[0.8254601907296518],[0.9463513857106535],0.4143031,[0.8886003053037483],[0.9241645459976193],[0.8164335664335665],[0.935871743486974],0.46347776
33,[0.9097617965598646],[0.939036743613262],[0.8873201194678252],[0.8309178743961353],0.38617685,[0.8925866172778771],[0.9262341092925013],[0.8833693304535637],[0.8196392785571143],0.41095883
34,[0.9080003056468251],[0.9372435726208301],[0.9274360746371804],[0.6824307144673277],0.44573316,[0.8917039855885055],[0.9260115280349956],[0.9263157894736842],[0.7054108216432866],0.4557225
35,[0.9106022136158509],[0.9398477666492921],[0.8970174451322454],[0.8105771675565726],0.39138773,[0.8929628209487566],[0.9259457910026805],[0.888641425389755],[0.7995991983967936],0.4144558
