,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6434624758197166],[0.7307661361997224],[0.9230769230769231],[0.009153318077803204],0.6907894,[0.6501016473379972],[0.742491643149995],[0.75],[0.006012024048096192],0.6860703
1,[0.8076034786540995],[0.8281575551375854],[0.8038562247084028],[0.8586320874650394],0.52654135,[0.780781780166832],[0.8142289653255217],[0.8033395176252319],[0.8677354709418837],0.55864775
2,[0.8482602037556131],[0.8691723448729071],[0.837528033889858],[0.8545639460971268],0.4753072,[0.8226344385521948],[0.853111573394666],[0.8294573643410853],[0.8577154308617234],0.5109017
3,[0.8545082012997139],[0.8839723921691482],[0.790417897847193],[0.9521993389270277],0.48639697,[0.8292975843383518],[0.8674040003358464],[0.7831125827814569],[0.9478957915831663],0.5372715
4,[0.8611141273626746],[0.8929570294210423],[0.8061674008810573],[0.9305873379099924],0.46873477,[0.8380949624881532],[0.8781714517964839],[0.8062283737024222],[0.9338677354709419],0.5216508
5,[0.8750530636849121],[0.9029906591114034],[0.8532964267740312],[0.8621917111619629],0.43902975,[0.8575924412000896],[0.8927369995380747],[0.8388998035363457],[0.8557114228456913],0.46540052
6,[0.8812072781479947],[0.9110528709550207],[0.8661522086216072],[0.8276125095347063],0.4364869,[0.8649356474682217],[0.900899786186374],[0.8565400843881856],[0.8136272545090181],0.45745057
7,[0.8845676058156905],[0.9164367336742146],[0.8377735490009515],[0.8954996186117468],0.42718634,[0.8685529904574493],[0.9055561636949778],[0.8408239700374532],[0.8997995991983968],0.45723596
8,[0.8870373572810302],[0.9187368766700046],[0.8441776710684273],[0.8939740655987796],0.41805348,[0.8707233962509857],[0.9078040215879933],[0.8425047438330171],[0.8897795591182365],0.45094475
9,[0.886752377364797],[0.9163544609212174],[0.8845594649607444],[0.7734553775743707],0.44115138,[0.8694066834029069],[0.9036794969636546],[0.8832951945080092],[0.7735470941883767],0.4592201
10,[0.8923216065941069],[0.9230760863702774],[0.849093107617896],[0.8927027714213069],0.41093448,[0.8761204719909133],[0.9112694627824982],[0.8480769230769231],[0.8837675350701403],0.43948615
