,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6048503245870438],[0.7805232356895009],[0.7704615384615384],[1.0],0.67224926,[0.604025974025974],[0.7666165621188314],[0.7549019607843137],[1.0],0.673659
1,[0.72171546801713],[0.860071713598292],[0.8731988472622478],[0.7260383386581469],0.6459323,[0.7507792207792208],[0.8851256011476555],[0.8515625],[0.7077922077922078],0.6499236
2,[0.7541922286044457],[0.88482792139639],[0.8848015488867377],[0.7300319488817891],0.6265343,[0.7774025974025974],[0.8946105579252827],[0.8692307692307693],[0.7337662337662337],0.6333855
3,[0.7902526170892529],[0.9064964109199849],[0.8171617161716171],[0.9888178913738019],0.53550303,[0.7754545454545455],[0.8980861584362374],[0.8042328042328042],[0.987012987012987],0.5548234
4,[0.8052180341241248],[0.9138492267397123],[0.8777869529314616],[0.8490415335463258],0.5449478,[0.807012987012987],[0.910933292491574],[0.869281045751634],[0.8636363636363636],0.5571038
5,[0.8103311297668412],[0.9153495206949314],[0.8749016522423289],[0.8881789137380192],0.50774246,[0.808051948051948],[0.9127097911474014],[0.8588957055214724],[0.9090909090909091],0.5264885
6,[0.8147156039698185],[0.9146778841956604],[0.8758364312267658],[0.9408945686900958],0.48228455,[0.8085714285714285],[0.9146830074767811],[0.8538011695906432],[0.948051948051948],0.50007874
7,[0.8242259193800556],[0.9195455854411507],[0.8758414360508602],[0.9353035143769968],0.48017585,[0.8157142857142857],[0.917952682616724],[0.8579881656804734],[0.9415584415584416],0.50166327
8,[0.8320686900958467],[0.9238252090636621],[0.8984995586937334],[0.8130990415335463],0.5145335,[0.8289610389610389],[0.9242639348298451],[0.9111111111111111],[0.7987012987012987],0.5433786
9,[0.8385136972333628],[0.9252211405408954],[0.8970345963756178],[0.8698083067092651],0.48778507,[0.8274025974025975],[0.9226271431081019],[0.891156462585034],[0.8506493506493507],0.5065985
10,[0.8421759227788729],[0.9271432036567273],[0.9007506255212677],[0.8626198083067093],0.48085856,[0.8298701298701298],[0.9256292970037858],[0.8873239436619719],[0.8181818181818182],0.5023944
11,[0.8476883794439536],[0.9293232794761423],[0.9017199017199017],[0.8793929712460063],0.4712494,[0.8333766233766233],[0.9272252946459856],[0.8827586206896552],[0.8311688311688312],0.49237275
12,[0.849126503976616],[0.9299881679057442],[0.8872066616199848],[0.9361022364217252],0.4514101,[0.8310389610389609],[0.9255272471000062],[0.8805031446540881],[0.9090909090909091],0.46596405
13,[0.8511615457820678],[0.9310687363832337],[0.8817843866171003],[0.9472843450479234],0.44505647,[0.8314285714285714],[0.9255792307909232],[0.8787878787878788],[0.9415584415584416],0.46101323
14,[0.8574875943171776],[0.9347662374425978],[0.9029911075181891],[0.8921725239616614],0.45823568,[0.84],[0.9279944895363075],[0.8827586206896552],[0.8311688311688312],0.47378612
15,[0.8552358779144857],[0.9320691664934223],[0.884789156626506],[0.9384984025559105],0.4399414,[0.8350649350649352],[0.9274285771673512],[0.8765432098765432],[0.922077922077922],0.44514188
16,[0.8619506661681735],[0.9369934648738807],[0.9033546325878594],[0.9033546325878594],0.4536024,[0.842987012987013],[0.9300243634480707],[0.8835616438356164],[0.8376623376623377],0.4680769
17,[0.8596076065529196],[0.9351002493009625],[0.8903374233128835],[0.9273162939297125],0.43545017,[0.8364935064935065],[0.9281953778438231],[0.8805031446540881],[0.9090909090909091],0.44265518
18,[0.8644296784718918],[0.9392664385467067],[0.9205175600739371],[0.7955271565495208],0.5004846,[0.8453246753246753],[0.9298469939091003],[0.9029850746268657],[0.7857142857142857],0.5273066
19,[0.8671657263272382],[0.9393174791994325],[0.9154103852596315],[0.8730031948881789],0.45636538,[0.844935064935065],[0.9294624680149493],[0.8881118881118881],[0.8246753246753247],0.46923295
20,[0.8673207973625179],[0.9389745216529531],[0.9023622047244094],[0.9153354632587859],0.43483964,[0.8423376623376624],[0.9280625087730802],[0.8807947019867549],[0.8636363636363636],0.44315386
21,[0.8708757477397866],[0.9414948253573896],[0.9126530612244897],[0.8929712460063898],0.44893336,[0.8475324675324676],[0.9306796173109265],[0.8888888888888888],[0.8311688311688312],0.4630507
22,[0.8688056556318402],[0.9415435448589938],[0.9414466130884042],[0.6549520766773163],0.5834632,[0.8523376623376624],[0.9313188742191062],[0.9345794392523364],[0.6493506493506493],0.63070166
23,[0.8733112126979811],[0.9414835329032399],[0.9014195583596214],[0.9129392971246006],0.43167472,[0.8498701298701299],[0.93155748407605],[0.881578947368421],[0.8701298701298701],0.44157556
24,[0.8739102542315276],[0.9422175059563829],[0.9216549295774648],[0.8362619808306709],0.46178597,[0.8497402597402598],[0.9305516204929722],[0.9057971014492754],[0.8116883116883117],0.47538254
