,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6617949748122508],[0.835682252389551],[0.0],[0.0],0.71996015,[0.6010773604668562],[0.8607867885480235],[0.0],[0.0],0.7188959
1,[0.7758053383605814],[0.9021321670723492],[0.802076124567474],[0.9384615384615385],0.5988496,[0.7427801885380817],[0.9112801053666151],[0.8201058201058201],[0.950920245398773],0.5812358
2,[0.7799559085617744],[0.8945514306107925],[0.8584214808787632],[0.854251012145749],0.5965539,[0.7774951369145594],[0.9287756062266354],[0.8650306748466258],[0.8650306748466258],0.5707322
3,[0.7896477835810901],[0.8982407786974895],[0.8832579185520362],[0.7902834008097166],0.5947457,[0.7894658087685171],[0.9318119974835954],[0.8986486486486487],[0.8159509202453987],0.54896593
4,[0.8064973060955383],[0.9058551578200966],[0.8972602739726028],[0.7425101214574898],0.58138156,[0.8078707167439771],[0.935107729880081],[0.927007299270073],[0.7791411042944786],0.51272595
5,[0.8189026588785528],[0.90933624998212],[0.8736600306278713],[0.9238866396761134],0.4899655,[0.812210085291037],[0.9358089952897362],[0.896551724137931],[0.9570552147239264],0.44830236
6,[0.8268246953261015],[0.9121485274117207],[0.8747135217723453],[0.9271255060728745],0.47864437,[0.8129582522819093],[0.9350456620335706],[0.8908045977011494],[0.950920245398773],0.445074
7,[0.8354760948171956],[0.9190483069863279],[0.8969162995594714],[0.8242914979757086],0.5196936,[0.828071225497531],[0.9407376639917309],[0.9044585987261147],[0.8711656441717791],0.47484264
8,[0.8379732360849275],[0.9195373615837231],[0.884],[0.8947368421052632],0.4771483,[0.8211880891815053],[0.9380587117959045],[0.9],[0.9386503067484663],0.4377154
9,[0.845198875050221],[0.9227043038947674],[0.9110486891385767],[0.7878542510121458],0.51830196,[0.8330091276372886],[0.9422662704602927],[0.9102564102564102],[0.8711656441717791],0.45924124
10,[0.8498037518929444],[0.9258102493685054],[0.9026315789473685],[0.8331983805668016],0.4964714,[0.8376477629806973],[0.9458520889488968],[0.901840490797546],[0.901840490797546],0.44769445
11,[0.8545240082001833],[0.9263223335052154],[0.9142335766423357],[0.8113360323886639],0.5038343,[0.8413885979350592],[0.9458444046212651],[0.906832298136646],[0.8957055214723927],0.4537722
12,[0.8570664771146892],[0.9305765482024568],[0.8976510067114094],[0.8663967611336032],0.47057727,[0.8434834655095016],[0.9476671567817812],[0.8994082840236687],[0.9325153374233128],0.4236503
13,[0.8598273428727427],[0.9311678031607429],[0.8878431372549019],[0.9165991902834008],0.45191142,[0.8430345653149783],[0.9470156035552503],[0.9028571428571428],[0.9693251533742331],0.42128602
14,[0.862174078767088],[0.9343624229055709],[0.8944765045342127],[0.8785425101214575],0.46501783,[0.8475235672602125],[0.9481402164230703],[0.9028571428571428],[0.9693251533742331],0.42170092
15,[0.8633773217541799],[0.933591027206546],[0.8888888888888888],[0.9068825910931174],0.45103264,[0.847074667065689],[0.948532683891512],[0.8977272727272727],[0.9693251533742331],0.41258883
16,[0.8645208146614334],[0.9360428450768217],[0.9349240780911063],[0.6979757085020243],0.56520855,[0.8579979051324256],[0.9536089378546679],[0.9302325581395349],[0.7361963190184049],0.4740807
17,[0.8663957309598129],[0.9337205637708094],[0.8889763779527559],[0.91417004048583],0.44376948,[0.8494688014364806],[0.9492665364274131],[0.9028571428571428],[0.9693251533742331],0.4156343
18,[0.8678977243460971],[0.9357708947167063],[0.8857808857808858],[0.9230769230769231],0.4382573,[0.8529103695944935],[0.9501282989793673],[0.8926553672316384],[0.9693251533742331],0.40296736
